participant,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,cluster
1d7c0db,-0.34973356,0.0003391655,-0.053935852,-0.6202937,-0.57230675,0.49446028,0.80245894,-0.43529442,-0.40447435,-0.10416843,-0.6101358,0.28683883,-0.5035737,-0.5933532,0.92021435,-0.13244542,1
205d5a4,0.5113768,0.07042844,0.95918745,-0.08579049,0.3965108,0.85585886,0.32218423,-0.22285768,-0.2580605,-0.5364187,0.38475385,0.55658644,-0.48534915,-0.23042664,-0.09523228,-0.37216756,0
20b78f0a,-0.3757937,0.00034559116,-0.040176794,-0.6043487,-0.43028146,0.5225609,0.8020645,-0.42928097,-0.42776585,-0.27808285,-0.4345544,0.32403773,-0.46274695,-0.65735584,0.9380791,0.109950036,1
21f983df,0.11169354,-0.041335743,0.68125105,0.2885251,0.49482194,0.6116252,0.050311413,0.35855404,0.58180225,-0.48552164,0.008106166,0.25350893,0.09909497,0.7276751,-0.44456902,-0.05796528,0
222b96a0,-0.6096692,0.0001671772,-0.09895993,-0.68066263,-0.26261094,0.36278003,0.84563226,-0.3627571,-0.3731778,-0.22883734,-0.98389155,0.18793097,-0.35396588,-0.47815078,0.95363176,0.2130427,1
23659a75,0.0087012155,0.00062282936,0.10213146,-0.46253082,-0.15693893,0.7751958,0.81512165,-0.39235455,-0.43436632,-0.32223216,0.19953664,0.55515856,-0.8140786,-0.8689818,0.8990548,-0.1701864,1
24c1b08b,0.5398425,0.09132391,0.9231082,-0.039205473,0.5524481,0.7392459,-0.40352228,-0.07467191,-0.099002466,-0.29567397,0.520068,0.20658092,0.10640776,0.174084,-0.14062285,-0.27835548,0
258fbc5e,-0.00500117,-0.6586123,-0.1247725,0.55731213,-0.18011977,0.051420853,0.071742974,0.826171,0.77482975,0.18579382,0.019774735,0.55758655,0.43922603,-0.32612854,-0.0032820501,0.59429,2
265da921,0.041020602,-0.49164778,-0.09164488,0.46670184,-0.098756835,0.07886881,0.07029037,0.575435,0.72775215,0.26381198,0.032765757,0.3353742,0.38251197,-0.018606618,-0.031576462,0.2723034,2
2713a5f4,-0.23341277,0.00024538403,-0.17812042,-0.63297045,0.2883711,0.3225623,0.8174337,-0.2715339,-0.3918256,-0.0467921,-0.716988,0.31747848,-0.6770532,-0.6233466,0.95545864,0.17648095,1
2c2dcf89,-0.040550064,-0.7770424,0.11630169,0.56028754,-0.059062403,0.0748713,0.09491278,0.8769288,0.41952106,-0.051398322,0.033728648,0.65999025,0.4882068,-0.5577065,-0.043763142,0.63738537,2
2d63c35c,0.08149832,-0.13496023,0.95882523,-0.022001622,0.3456349,0.8680473,0.57915336,-0.111451566,-0.26997957,-0.527524,0.017261017,0.38676134,-0.28752157,-0.25032476,-0.24366294,-0.53244376,0
2eb1d623,0.6652962,0.07510888,0.96759665,-0.01890478,0.6550457,0.7791598,-0.44668576,-0.08757737,-0.087317824,-0.2698208,0.6127662,0.31248027,0.34667832,0.12995301,-0.098819524,-0.29108417,0
2fffdaf6,0.14463621,-0.031751882,0.8701754,-0.05002166,0.07459747,0.8529383,0.66118574,-0.2906555,-0.31279138,-0.64385116,0.25881565,0.44081178,-0.20639198,-0.50903755,0.28068462,-0.40291503,0
34bd971,0.06001007,-0.7251114,0.040166404,0.6256607,-0.26843095,0.22045365,0.10807689,-0.33702847,0.7117001,0.2525812,0.18193199,0.63753223,0.45060024,-0.5335392,-8.43886e-05,0.68866616,2
40c54a06,0.18040521,-0.4094915,0.41217262,0.4152818,0.36794052,0.7031553,0.15057568,-0.04967694,0.27119458,-0.45495465,0.073324285,0.6451904,0.43123335,0.41549158,-0.38743833,-0.080794245,0
418b46d3,0.046307623,-0.77311,0.07280526,0.62315667,-0.20393074,0.10913325,0.0768228,0.070669465,0.67079633,0.47228354,0.117737405,0.62677467,0.42829356,-0.5702672,-0.017173296,0.67136216,2
425953ac,-0.030147491,-0.7135802,0.12138394,0.5490951,0.024388332,0.13996442,0.10888605,0.72230536,0.40341204,-0.34952542,0.060946614,0.6505772,0.518641,-0.5318767,-0.052381307,0.57787174,2
43175f79,0.07903265,-0.75421244,0.05066596,0.62465256,-0.23763685,0.16618712,0.0930381,-0.29350296,0.7228125,0.4608675,0.18132485,0.6499697,0.4516972,-0.5540649,-0.0016765061,0.6677954,2
44b37587,0.040131338,-0.7771138,0.114496395,0.5868683,-0.13996896,0.13460223,0.12103461,0.14379625,0.64246553,0.4197084,0.14531907,0.71387756,0.5671972,-0.58556706,0.00223857,0.5251749,2
45fd7952,-0.2184652,0.005077507,0.86235225,-0.5003027,-0.5532976,0.916727,0.96781075,-0.36351323,-0.37043026,-0.7593917,-0.9576563,0.3390096,-0.9839121,-0.4696921,-0.6037717,-0.6407976,1
462f6c2d,-0.46094224,0.0004962842,-0.0068510873,-0.56456137,-0.8790046,0.52766025,0.8117185,-0.49220186,-0.37495866,-0.22582103,-0.66070503,0.22096306,-0.3953185,-0.49156266,0.8528501,-0.32890517,1
476160f8,-0.085319854,0.00047428074,-0.0044155847,-0.5450098,0.0042228894,0.6249553,0.8001619,-0.34672725,-0.44208124,-0.23800041,-0.05585352,0.48872867,-0.80819225,-0.8145547,0.9312607,0.02369732,1
48293504,0.11475572,-0.6087573,0.26805046,0.5308448,-0.0283322,0.47216,0.20944177,-0.114402555,0.5298012,-0.03746236,0.1295179,0.6929637,0.5297745,-0.30737153,-0.13950966,0.008090892,2
496739d1,0.10414804,-0.58526504,0.255889,0.5230179,0.0725399,0.6136104,0.19088022,-0.33187017,0.50457555,-0.38224053,0.17775421,0.76825064,0.56715685,0.027170476,-0.06944706,0.24322861,2
4ab52cae,0.53538734,0.36345348,0.6484384,0.2525088,0.39957723,0.6286014,0.17213665,0.33297607,0.5797573,-0.5093367,0.06911372,0.29698136,-0.55156606,0.6276825,-0.6098437,-0.14899501,0
4bfb207b,0.003878903,-0.5955763,-0.15279701,0.5544093,-0.21529442,0.08521898,0.07890842,0.63949245,0.79044074,0.098621525,0.031672712,0.5028529,0.42781886,-0.19445649,-0.0018185994,0.57424736,2
4eff38f,-0.0062798937,-0.0047247005,0.26878753,-0.32082996,-0.751946,0.5333828,0.7006559,-0.4518878,-0.40790254,-0.44431534,-0.1342548,0.42279014,-0.52880305,-0.575134,0.6920101,-0.20948909,1
4f8d1ffa,-0.022745924,-0.45703322,-0.11454001,0.5131253,-0.06979212,0.1064805,0.097968206,0.8130192,0.7257379,-0.3928437,0.021787524,0.48569795,0.4636299,-0.10742359,-0.008486983,0.53448904,2
5a1ff5a,0.2371429,-0.020791039,-0.019445432,-0.09211029,0.40502885,0.63905716,0.22698547,-0.01127874,-0.13031685,-0.35341403,0.2852456,0.31698698,-0.006167497,-0.16097347,0.23859191,-0.33933526,0
60eb0902,-0.47939923,0.00018027495,-0.11470228,-0.6440656,0.043106206,0.38260755,0.8461172,-0.32346898,-0.38122386,-0.2556611,-0.8798337,0.24120168,-0.4473473,-0.561532,0.9571266,0.28264737,1
61a505d7,0.07569037,-0.51745385,-0.2422914,0.58349246,-0.36935076,0.1541168,0.06790462,-0.15609305,0.82695854,0.29547915,0.08855634,0.40835896,0.34590203,0.15419964,-0.002174992,0.56766737,2
627710a8,0.3048653,0.05185994,0.98741907,-0.11679574,0.48888567,0.9037095,0.7594459,-0.08436883,-0.19570033,-0.54853874,-0.016964968,0.617796,-0.890047,-0.24561813,-0.74823666,-0.547993,0
63391c7d,0.42879245,0.08748871,-0.1993451,0.16709462,0.64925367,0.34500664,0.16587657,0.31541684,0.6367475,-0.40531644,0.3874374,0.39316478,0.40512002,0.07223594,-0.049256325,0.121933006,0
649d3683,0.057932544,-0.7639918,0.06639986,0.6299683,-0.22237465,0.12605235,0.07960832,-0.06009046,0.69160354,0.47302428,0.13585038,0.6314615,0.42612848,-0.56798214,-0.013773426,0.68432254,2
65d33a56,0.044762954,-0.74565166,0.1004661,0.5365613,-0.094356604,0.13880843,0.10274585,0.28890288,0.5624971,0.30952188,0.112652875,0.6022062,0.51675117,-0.548542,-0.04284565,0.36956733,2
66012f29,-0.021199483,-0.57431656,0.052342318,0.48701409,0.07397459,0.096116476,0.07034764,0.8746208,0.42732024,-0.4067045,0.008178818,0.50797266,0.41965324,-0.44919816,-0.10418594,0.6391601,2
673ea25,0.61375445,0.034237526,0.9865897,-0.11622603,0.4919167,0.44319868,0.01434145,-0.033933744,-0.03435267,-0.15425263,0.52476853,0.14742869,0.28482705,0.42097166,0.13123411,-0.28425434,0
674f23fc,-0.010044336,-0.4954788,-0.14075704,0.53842974,-0.17941844,0.109732196,0.0894896,0.6844758,0.76400703,-0.20333149,0.028499069,0.4666079,0.4410614,-0.11894529,-0.004719095,0.5560789,2
68077600,-0.012896373,-0.57644814,-0.10934495,0.51361805,-0.14747113,0.04023231,0.051777355,0.8849185,0.7999193,0.0037706858,-1.24143935e-05,0.36278212,0.36045045,-0.29811472,-0.012903717,0.6206459,2
69497ad5,0.4311745,0.00015541,0.4445293,-0.37927848,-0.82087404,0.8597067,0.9183221,-0.31669998,-0.30605674,-0.49679604,-0.2782792,0.44380203,-0.5842087,-0.9104853,0.95332414,0.1386045,1
6a9b6faa,0.56421536,0.00085878215,0.75350744,-0.32039797,-0.40965682,0.88458014,0.93477666,-0.2779658,-0.23506095,-0.5016213,0.50240964,0.58934975,-0.89226335,-0.9500245,0.85375935,-0.40646988,1
6bd5637f,0.08518756,0.0005142777,-0.015216774,-0.4202497,-0.83600837,0.7757504,0.7459517,-0.49340925,-0.47606337,-0.29290944,-0.20158672,0.5407305,-0.67571723,-0.8434829,0.8766635,-0.15715349,1
6d3f4554,0.05525275,-0.64726603,0.15523182,0.36882123,0.22466241,0.16801526,0.11626187,0.49772856,0.20844713,-0.23111485,0.051886838,0.5435033,0.440311,-0.32112238,-0.28098407,-0.026731273,2
73de6f0,0.016876964,0.00011444353,0.3342177,-0.49328047,-0.796633,0.6534792,0.89802635,-0.3330706,-0.2501437,-0.36865765,-0.46227685,0.155348,-0.338721,-0.734008,0.9571918,0.15828481,1
8020c01e,0.25680622,0.68875897,0.31796762,0.13925484,0.3353605,0.5507431,-0.07522606,-0.27920082,-0.35394356,-0.34064263,0.04341384,0.3606237,0.188652,0.7170793,-0.5640417,-0.107681654,0
8456ff9f,-0.002080844,0.00045955065,-0.050166078,-0.4476774,-0.7487623,0.69531584,0.7272676,-0.46941814,-0.48929167,-0.32729408,-0.32444343,0.52474445,-0.6326472,-0.8185335,0.9172245,0.08688158,1
8518f34a,-0.016302511,-0.54162544,-0.13184763,0.53483707,-0.16002582,0.092570946,0.09063912,0.77615523,0.76174384,-0.18013366,0.022888305,0.50023144,0.4580006,-0.20121501,-0.0026812488,0.5613621,2
86cae635,0.28623968,-0.16239616,0.40442723,0.412474,0.49537995,0.5571586,0.04350909,-0.025217846,0.3925384,-0.10838665,0.19773047,0.93845963,0.40679047,-0.2788173,-0.136383,0.09328436,0
8784eae0,0.332023,0.6016047,0.31007054,0.19779326,0.43951112,0.6672025,-0.03907795,0.045394965,-0.18912031,-0.4289116,0.04834861,0.30142504,-0.042481743,0.6875127,-0.6651546,-0.15113364,0
88ccbf1c,-0.63743603,0.00017032387,-0.09036451,-0.6778078,-0.340701,0.37259772,0.8456458,-0.38080284,-0.37388113,-0.25179648,-0.97910076,0.18121932,-0.31209108,-0.4715127,0.9529467,0.20905602,1
8a50a6b6,-0.4343145,0.0002540534,-0.108996205,-0.65368706,-0.34096998,0.37882826,0.8160743,-0.39210898,-0.37646666,-0.07533077,-0.86066014,0.22597966,-0.41883498,-0.5100192,0.94210577,-0.009533807,1
8b1eaa63,-0.17691723,0.0005115333,0.028480068,-0.5082832,-0.3552017,0.675036,0.79642105,-0.44418442,-0.43268213,-0.3556384,0.036219895,0.449784,-0.51614845,-0.7844918,0.92841446,0.037726477,1
8cba809d,-0.075623214,0.00036390763,-0.08780018,-0.50984854,-0.6305636,0.61265993,0.7543837,-0.42035097,-0.4728008,-0.28340355,-0.58372,0.4658139,-0.62673885,-0.7587103,0.9285179,0.118634015,1
8df48c48,-0.28507394,0.00029938918,-0.11082485,-0.5357446,-0.8535795,0.59433454,0.7882522,-0.49273688,-0.4490056,-0.34416184,-0.82935065,0.34605822,-0.35353187,-0.650418,0.933591,0.057923462,1
8e269937,0.13951664,-0.7302937,-0.02860372,0.6270156,-0.2438657,0.12531687,0.031654205,-0.51405185,0.68095684,0.45565432,0.17307268,0.44345173,0.31392515,-0.44615254,-0.054738004,0.65313447,2
8f6895e2,-0.21607868,0.0004021832,-0.008758329,-0.54745126,-0.078728475,0.6084283,0.80939627,-0.38040802,-0.43523407,-0.34423363,-0.14787063,0.42782727,-0.5940653,-0.7676601,0.93932873,0.16449837,1
99cc0e,0.22017945,0.28448898,-0.048789553,0.013140625,0.22647397,0.071288474,0.0866042,0.41711769,0.60430896,0.19025575,0.060970057,-0.22725461,0.1609355,0.5770253,-0.27918395,-0.024712238,0
a2929ab0,-0.4770169,0.00033887502,-0.037544206,-0.59230006,-0.8529032,0.5270599,0.8078694,-0.5085039,-0.37417075,-0.20898862,-0.6990303,0.21589078,-0.1602918,-0.5234878,0.9152766,-0.14918658,1
a478bc9b,-0.33042902,0.00023426034,-0.13120203,-0.60105777,-0.67989993,0.5105148,0.8106139,-0.41570964,-0.43485594,-0.28041807,-0.9844276,0.3205453,-0.45889628,-0.6109988,0.9477408,0.142426,1
a536b04e,0.11829322,-0.32050174,0.18061727,0.29024622,0.23832688,0.14964285,0.016890027,0.43061057,0.2576404,-0.21163662,0.07088746,0.5652617,0.3325878,-0.30727765,-0.26564866,0.017731104,2
a6e4a531,-0.005844837,-0.42091468,-0.09437201,0.48218343,0.012696703,0.08563668,0.060643006,0.83219814,0.7219465,-0.42636108,0.0144484155,0.35726818,0.4053323,-0.041438732,-0.031050995,0.5444559,2
a7aaa9e4,0.09654893,0.00014166968,0.36198282,-0.4825279,-0.83891165,0.6979969,0.8973751,-0.3342515,-0.23558767,-0.36005446,-0.38483223,0.17507194,-0.43380672,-0.7389944,0.9286637,-0.020017417,1
a8e2fc18,0.49500948,0.055881787,0.9518917,0.03218549,0.53797174,0.8575852,-0.17130724,-0.08180537,-0.1544235,-0.38625127,0.328881,0.27247795,0.2471701,0.20128739,0.10234492,-0.332105,0
a9acf0cd,0.4498895,0.015488658,0.97069705,-0.24634778,-0.011149282,0.9023179,0.89471686,-0.32537758,-0.3790917,-0.69147354,-0.031823277,0.664745,-0.9861744,-0.6762221,-0.45437336,-0.5915113,0
aa7ee5b2,-0.2453017,0.00043372432,-0.008590012,-0.53915375,-0.25530934,0.6027309,0.7999047,-0.42262992,-0.43095487,-0.34652516,-0.12901585,0.40667,-0.4831694,-0.74679416,0.93940425,0.13549504,1
ab30e967,-0.33560175,6.0943134e-05,0.2902265,-0.54998016,-0.64737976,0.5271844,0.91791755,-0.29912025,-0.26050672,-0.42064562,-0.85340035,0.08424095,-0.21023233,-0.6239317,0.97159,0.43169463,1
ac94c399,0.20723459,0.0021533812,0.42114866,-0.25504428,-0.27500328,0.85215753,0.85616237,-0.43527764,-0.40810588,-0.49057242,0.4080937,0.64134943,-0.7476445,-0.85256165,0.709457,-0.4918,1
addacf4c,-0.022063468,-0.3225609,-0.13081595,0.49884254,0.005045116,0.1812356,0.11504117,0.6851315,0.7393513,-0.61302835,0.036901396,0.48904753,0.49896592,0.0833881,0.0023041356,0.55403507,2
ae08da33,-0.5932286,0.0001878718,-0.08238286,-0.60775405,-0.82135546,0.5002169,0.84651,-0.45281062,-0.39126468,-0.3072074,-0.9690262,0.20870145,-0.2249639,-0.51195717,0.94536597,0.071451426,1
af46d6e6,-0.3351186,4.3735377e-05,0.27768382,-0.56181663,-0.8280448,0.5680015,0.9315419,-0.29711497,-0.27354968,-0.43202236,-0.9949322,0.08828885,-0.26432952,-0.61921763,0.9744352,0.39904037,1
c038c8d,-0.27698976,6.733135e-05,0.28920987,-0.53692317,-0.734913,0.5451437,0.914599,-0.3168048,-0.25266886,-0.38887125,-0.8510422,0.08562159,-0.19520658,-0.618562,0.96937585,0.3400214,1
c07c4616,0.29623508,0.58135635,0.39102975,0.18145117,0.41184986,0.62891406,-0.056444094,-0.25586608,-0.25621712,-0.42252663,0.052122984,0.41066048,0.16405985,0.71127254,-0.59315276,-0.12776719,0
c1324ac3,-0.023628782,-0.5182443,-0.107128255,0.51034,-0.06986664,0.07221848,0.07831006,0.90962094,0.7210705,-0.32665026,0.01127162,0.4787057,0.4283241,-0.18098584,-0.014148418,0.5779143,2
c2e05fbc,-0.51806706,0.00017527425,-0.09404588,-0.6542458,-0.37767568,0.39000946,0.8488814,-0.35770172,-0.3775107,-0.12434762,-0.98241687,0.21925814,-0.46189645,-0.5053463,0.95052296,0.08128233,1
c3ae5369,0.14491005,-0.68968374,-0.02688986,0.6390272,-0.34241554,0.2654555,0.07139783,-0.7956478,0.733881,0.37851503,0.23812194,0.5584051,0.3700882,-0.4194121,-0.020727817,0.6828263,2
c5447542,-0.44066176,0.00025083584,0.1875381,-0.42617288,0.20001812,0.5398481,0.88429904,-0.31420314,-0.37974045,-0.5074097,-0.41782188,0.29420105,-0.40282866,-0.5500078,0.8654966,-0.3641232,1
c8903914,0.06835741,-0.76030684,0.059933506,0.6308396,-0.23498118,0.14813505,0.087384984,-0.19335559,0.71926844,0.47897,0.1594189,0.6483849,0.43807435,-0.56663406,-0.005353371,0.68987626,2
c9de35c1,-0.69933385,0.0001828367,-0.05840023,-0.6597467,-0.80621624,0.4296283,0.84414995,-0.46047133,-0.37151295,-0.25547305,-0.99367994,0.15892813,-0.1798043,-0.4371164,0.94290555,0.0660781,1
ca0c20be,-0.3992213,0.00023796846,-0.10834332,-0.5755324,-0.75268346,0.5452475,0.81481797,-0.45829877,-0.44894257,-0.3948958,-0.91884565,0.31523833,-0.36187133,-0.6243765,0.9488289,0.21838924,1
cb422c6b,0.11307874,-0.5492158,0.4444733,0.41399065,0.24073999,0.70062524,0.101056635,0.038112417,0.17716227,-0.6913155,0.032310985,0.0914607,0.31856823,0.364,-0.6392767,-0.035338063,0
cce60695,-0.48826706,0.00014118629,-0.12141485,-0.6570445,0.18058765,0.36498186,0.8593468,-0.26554918,-0.38334948,-0.2691436,-0.9398205,0.24625748,-0.53897816,-0.5684368,0.9603761,0.37809545,1
cda80a40,-0.048047323,-0.76251996,0.1206052,0.5930332,-0.11713826,0.20204972,0.14873315,0.46956432,0.5894281,-0.14222875,0.08429447,0.7135871,0.5874027,-0.5858193,0.0062305345,0.63860625,2
ce7a1f3f,0.15118209,-0.47090584,0.5166611,0.40161502,0.35157627,0.7257762,0.054400172,0.013723815,0.16762823,-0.54465747,0.031000238,0.35154134,0.28467402,0.54628855,-0.587211,-0.09457125,0
cf3413ea,0.3737508,0.27713248,0.28378984,0.19083476,0.42565504,0.5576906,0.03835751,0.034020633,-0.10308217,-0.37601677,0.06871727,0.41316113,0.0058073676,0.5975425,-0.65011936,-0.19109745,0
d4d8058,0.13660192,-0.07969741,0.71113324,-0.023159657,0.38396814,0.8554543,0.6762555,-0.29265898,-0.32884035,-0.5248394,0.20569022,0.55475074,0.23894094,-0.35479268,0.50240684,-0.45436758,0
e0520512,0.04536173,-0.42601016,-0.2005926,0.5530069,-0.3072932,0.16776651,0.07625151,0.13801022,0.79543746,-0.0053517045,0.06903921,0.36049742,0.37751687,0.15556422,-0.006719048,0.5228472,2
e11c09c7,0.55561084,0.24654831,-0.22513255,0.32001647,0.6553639,0.4894876,0.115322866,-0.06915897,0.60003495,-0.40401217,0.3945171,0.8529109,0.44780406,-0.26368093,0.033831913,0.16531226,0
e2ce1cb8,-0.01566149,-0.59385073,-0.11912141,0.5405853,-0.1548198,0.06746589,0.081334844,0.849185,0.7511902,-0.063452266,0.017540341,0.52437496,0.44501454,-0.27148876,-0.0059639844,0.5742152,2
e380106d,-0.013782817,8.386654e-05,0.25995374,-0.52255833,-0.75650495,0.5979909,0.90573895,-0.30254087,-0.26930067,-0.31185883,-0.8162563,0.1521457,-0.43099147,-0.7057101,0.9660082,0.16942069,1
e7f62fec,0.0025683725,-0.6101267,-0.14518344,0.5575767,-0.20962928,0.07554304,0.075792,0.684696,0.7859734,0.130737,0.028099695,0.5128908,0.42497337,-0.22806731,-0.0030734455,0.579896,2
e8be7a10,0.28731886,0.08068255,-0.11143699,0.0072562085,-0.075191304,0.2622843,0.1305881,0.35479093,0.61716837,0.304567,0.275532,0.020470293,0.2748196,-0.050105855,-0.23399456,0.13296682,2
e9f076c5,-0.60833436,0.00020940782,-0.073554225,-0.65625083,-0.44552734,0.41316244,0.83403087,-0.41581798,-0.38988817,-0.28673193,-0.8632216,0.20114078,-0.28357926,-0.5069137,0.94899845,0.19078323,1
e9f9527,-0.019933041,-0.5537806,-0.101353586,0.5268034,-0.0886875,0.06432433,0.07936773,0.8930238,0.7098473,-0.21551855,0.014622615,0.52305585,0.4303679,-0.19887698,-0.014824483,0.56315804,2
ea2263ba,0.045301646,-0.76065904,0.08297484,0.60700655,-0.19199288,0.1667971,0.11505241,-0.075651616,0.67248577,0.32701296,0.16578944,0.68126947,0.52613264,-0.5665451,0.003433389,0.6098358,2
eb6c6f6f,0.28113654,0.0022891378,0.4537438,-0.14367162,-0.36191458,0.87184584,0.85718286,-0.43881017,-0.44095814,-0.43209037,0.48553762,0.7385806,-0.8802718,-0.9256407,0.7846695,-0.46691877,1
ecc84591,0.20930724,0.10495654,-0.047308084,0.3689026,0.56488407,0.3984584,0.024833227,-0.06744986,0.73979014,-0.40968564,0.25098863,0.9492021,0.5462399,-0.03491291,0.008569884,0.57984996,2
ed864944,-0.0043517184,-0.78555584,0.101265185,0.57113206,-0.121727124,0.09858873,0.09519762,0.5510171,0.5561214,0.25636393,0.07513672,0.6415797,0.5008239,-0.5716132,-0.024449391,0.56447923,2
ee545c3b,-0.039211113,0.009562939,0.9319653,-0.41457823,-0.39687324,0.93241185,0.9638214,-0.35431528,-0.36283407,-0.7605836,-0.7953645,0.4215481,-0.9885417,-0.5009724,-0.6708867,-0.62725836,1
ef1a50ee,0.061601628,-0.17582141,0.01707114,0.21327393,0.28502354,0.078634076,0.029339913,0.6778155,0.6598792,-0.32900745,0.027750054,0.34322247,0.28645402,0.22314146,-0.0918687,0.10855207,2
fd199f2,-0.029694507,-0.6942782,0.061330073,0.5317943,-0.07884985,0.06662367,0.072417,0.83792853,0.5701892,-0.023218144,0.00453316,0.54312205,0.44375858,-0.50420177,-0.05475117,0.680009,2
